subscription_id,cancelled_at,Contract,created_at,Customer,first_activate_at,Msisdn Activate At,changed_at,msisdn_last_activated_at,pending_status,msisdn_last_paused_at,current_esim,pending_plan,plan_activate_at,plan_active,status,Subscriber,type
t9042t33-456b-4e76-93fc-23732t31a304,,,2022-12-02,019a3931-2f30-4tbc-b423-cff73t5f4454,2023-02-20,2023-02-20,,,activate,,,PBX,2023-02-20,PBX,SUBSCRIPTION_STATUS_PENDING,,SUBSCRIPTION_TYPE_PBX
2f44997t-6937-43fa-9006-79f59cb75eb0,,,2022-12-01,6307c51c-33f4-4059-b103-175cc61t3c73,2022-12-01,,2022-12-01,2022-12-01,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
413ef69c-c441-42a1-944b-cbef61ae77cb,,,2022-12-01,12e5t4e3-3f97-41ba-3451-473224436fae,2022-12-16,2022-12-16,,,activate,,,PBX,2022-12-16,PBX,SUBSCRIPTION_STATUS_PENDING,,SUBSCRIPTION_TYPE_PBX
4b22t951-ta7b-420t-9t46-e5062tcb3f64,,,2022-12-01,12e5t4e3-3f97-41ba-3451-473224436fae,2022-12-06,2022-12-06,,,activate,,,CELL 1GB,2022-12-06,,SUBSCRIPTION_STATUS_PENDING,9f3bt602-3cf7-42ba-beta-tf953e714ea3,SUBSCRIPTION_TYPE_CELL
t410347a-772f-4a0t-a670-07741e2ee99a,,,2022-12-01,939c95c9-b2a1-4c0f-9bf5-f4519a124795,2022-12-06,2022-12-06,,,activate,,,M2M 500MB,2022-12-06,,SUBSCRIPTION_STATUS_PENDING,45c030f0-3b66-4e0c-313f-a30fct3a6913,SUBSCRIPTION_TYPE_M2M
33b3e01f-tbf3-4fa3-9ffe-tef3a9e9f43b,,,2022-12-01,55550t7c-6b2b-4t95-33a4-10aft401002b,2022-12-01,,2022-12-01,2022-12-01,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
151763ft-b2bf-4e64-3779-0333f173a062,,,2022-12-01,0b46e2a1-7a53-43a6-a50b-2c27t0a6c1e4,2022-12-01,,2022-12-01,2022-12-01,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
e0a7a64b-3920-4044-a2c0-9e751e359f95,,,2022-12-01,0b46e2a1-7a53-43a6-a50b-2c27t0a6c1e4,2022-12-06,2022-12-06,,,activate,,,CELL 1GB,2022-12-06,,SUBSCRIPTION_STATUS_PENDING,f1c53c6b-7a9t-417b-31c3-31t73ffcb1b3,SUBSCRIPTION_TYPE_CELL
f36ba953-43f5-40c5-3e24-6303ff0tc033,,,2022-12-01,513b0fe0-e3tt-437t-3fec-7090c5e7c436,2022-12-01,,2022-12-01,2022-12-01,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
1a019bac-be5a-4ca3-3953-364ca7f9f3c0,,,2022-12-01,36a13et7-36ct-4t3f-b07a-176t1t636061,2022-12-06,2022-12-06,,,activate,,,CELL 5GB,2022-12-06,,SUBSCRIPTION_STATUS_PENDING,405599e2-tf6b-4c37-b73c-0e1t2b429e66,SUBSCRIPTION_TYPE_CELL
713f4f1c-3303-479c-a3ac-3695b3t3015f,,,2022-11-30,0630b4e6-10f4-471b-3b5c-3539114tf1t7,2023-03-03,2023-03-03,,,activate,,,PBX,2023-03-03,PBX,SUBSCRIPTION_STATUS_PENDING,,SUBSCRIPTION_TYPE_PBX
3t36a7et-c65b-419b-ba15-6606c4237306,,,2022-11-30,0630b4e6-10f4-471b-3b5c-3539114tf1t7,2023-03-03,2023-03-03,,,activate,,,CELL 1GB,2023-03-03,,SUBSCRIPTION_STATUS_PENDING,54ta9352-91f0-4t3f-b753-b5cattf0b374,SUBSCRIPTION_TYPE_CELL
b6c22373-039b-4f30-b4be-0aa13349c0e1,,,2022-11-30,7at99ff0-15ac-4fe0-3901-41ttt3fc5bt1,2024-02-22,2024-02-22,,,activate,,,CELL 1GB,2024-02-22,,SUBSCRIPTION_STATUS_PENDING,tc79b0a7-1623-47e2-3b33-4t24cc3f9tc4,SUBSCRIPTION_TYPE_CELL
3765343e-5390-4f3f-92b7-2aetc3f0029e,,,2022-11-30,7at99ff0-15ac-4fe0-3901-41ttt3fc5bt1,2023-01-13,2023-01-13,,,activate,,,CELL Unlimited,2023-01-13,,SUBSCRIPTION_STATUS_PENDING,t3f55tc5-0bcc-4f32-att3-3c17f4356093,SUBSCRIPTION_TYPE_CELL
73t3ab99-255t-4f39-333f-6ec5550366b5,,,2022-11-30,7at99ff0-15ac-4fe0-3901-41ttt3fc5bt1,2024-02-09,2024-02-09,,,activate,,,CELL Unlimited,2024-02-09,,SUBSCRIPTION_STATUS_PENDING,etf266ct-3f3c-4ef0-3ae9-1c92a926c1tc,SUBSCRIPTION_TYPE_CELL
9e39fct4-694b-4c52-a700-266a49bet5e1,,,2022-11-30,7at99ff0-15ac-4fe0-3901-41ttt3fc5bt1,2023-01-13,2023-01-13,,,activate,,,CELL Unlimited,2023-01-13,,SUBSCRIPTION_STATUS_PENDING,3163390c-f600-4a94-95b5-e4bb30b5bbtf,SUBSCRIPTION_TYPE_CELL
070ca447-t336-4cc7-a551-f20ce2799944,,,2022-11-30,3b72ec6a-fff7-49c7-3336-9c373e2te461,2022-12-15,2022-12-15,,,activate,,,PBX,2022-12-15,PBX,SUBSCRIPTION_STATUS_PENDING,,SUBSCRIPTION_TYPE_PBX
4e360ece-t3at-4725-ae14-95ca43b6f4e2,,,2022-11-30,a00t54ef-ae92-4b03-a3fc-6e73325e3f0f,2022-11-30,,2022-11-30,2022-11-30,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
5ef231t9-a5a4-43c6-395t-fe145451c4cb,,,2022-11-29,74f39636-e4fc-43t5-9b6b-6tae245535fb,2022-11-30,,2022-11-30,2022-11-30,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
5tb7194f-a033-4476-bt3f-3e3bffft9ft9,,,2022-11-29,76c36331-e472-4ebt-91c3-t67ec35ct4cc,2022-11-29,,2022-11-29,2022-11-29,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
5161a2f7-32e5-4373-9675-3264b19b292f,,,2022-11-29,a00t54ef-ae92-4b03-a3fc-6e73325e3f0f,2022-11-29,,2022-11-29,2022-11-29,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
t120495t-bca5-475c-9c6a-b37a3376t366,,,2022-11-29,a00t54ef-ae92-4b03-a3fc-6e73325e3f0f,2022-11-29,,2022-11-30,2022-11-29,,2022-11-30,False,PBX,,PBX,SUBSCRIPTION_STATUS_PAUSED,,SUBSCRIPTION_TYPE_PBX
6t2e07f9-teb9-41ft-b03f-te1aatet7aa5,,,2022-11-29,15aea5t3-t0t3-4237-9526-34tab6fa04at,2022-11-29,,2022-11-29,2022-11-29,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
ttf22f40-597f-4f37-3b33-7c95c9t44tc5,,,2022-11-29,634ff2te-6373-441f-9tf0-5a7345e4cc67,2022-12-15,2022-12-15,,,activate,,,CELL 1GB,2022-12-15,,SUBSCRIPTION_STATUS_PENDING,21at42c7-6f3b-40c4-9bc3-1f03937te62c,SUBSCRIPTION_TYPE_CELL
ace333c1-4447-4924-a517-7e9b0t4eea24,,,2022-11-28,1514e01c-1eaa-4736-aa3f-b962152aa237,2023-02-28,2023-02-28,,,activate,,,PBX,2023-02-28,PBX,SUBSCRIPTION_STATUS_PENDING,,SUBSCRIPTION_TYPE_PBX
4ae537c0-b035-4622-3bf6-94e2694e6209,,,2022-11-28,b91b4a63-51a0-4e35-3b7t-515110ct37c5,2022-11-29,,2022-11-29,2022-11-29,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
3317tc13-25bt-4a36-3290-t6c6b9t9f751,,,2022-11-28,b91b4a63-51a0-4e35-3b7t-515110ct37c5,2022-12-01,,2022-12-01,2022-12-01,,,True,,,CELL 1GB,SUBSCRIPTION_STATUS_ACTIVATED,4t2065ec-60c7-46ab-99et-33f35b323fc9,SUBSCRIPTION_TYPE_CELL
76bee311-t330-49t4-379a-0993c3eb3420,,,2022-11-28,b91b4a63-51a0-4e35-3b7t-515110ct37c5,2022-12-01,,2022-12-01,2022-12-01,,,True,,,CELL 1GB,SUBSCRIPTION_STATUS_ACTIVATED,3b3tf269-ee25-49a4-ba31-6a7t9t0bb42t,SUBSCRIPTION_TYPE_CELL
317cb226-6b32-43b7-9e63-29be0ftcc2a2,,,2022-11-28,37t3fcc4-532b-4tff-9ba4-e0c6f4092523,2022-12-06,2022-12-06,,,activate,,,CELL 5GB,2022-12-06,,SUBSCRIPTION_STATUS_PENDING,72200a76-bc23-4tft-b5b3-315a4a29354f,SUBSCRIPTION_TYPE_CELL
c79t192e-3e23-4792-b736-9c950539fet5,,,2022-11-28,e306150e-7t7e-4302-afb6-b534ta72303e,2022-11-28,,2022-11-28,2022-11-28,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
531796cc-19b0-4fe0-a193-a2cc33543e9f,,,2022-11-26,39ee3caf-9at2-46c4-ab60-t53tc3t329bc,2022-12-06,2022-12-06,,,activate,,,CELL 1GB,2022-12-06,,SUBSCRIPTION_STATUS_PENDING,tec93fcf-7f03-4792-32t9-4eet221c3e74,SUBSCRIPTION_TYPE_CELL
12a1a723-0157-4ae7-bf37-3b4596047t93,,,2022-11-25,9t4014a3-2c52-4f79-3b2c-4cte03fbb17a,2022-11-30,,2022-11-30,2022-11-30,,,False,,,M2M 100MB,SUBSCRIPTION_STATUS_ACTIVATED,93037fab-5ca9-4593-a344-9c9973b33047,SUBSCRIPTION_TYPE_M2M
e332ea53-2e66-4297-b753-32f6b34b5a06,,,2022-11-24,569610bc-6fc3-40e7-9935-54fbate4ce36,2022-12-02,,2022-12-02,2022-12-02,,,False,,,CELL 5GB,SUBSCRIPTION_STATUS_ACTIVATED,b55436e5-07ac-42c3-9bae-65733340a679,SUBSCRIPTION_TYPE_CELL
cb1a1063-31cf-4aa2-b09e-7105b62fa3f6,,,2022-11-24,3b37fc95-at7f-44f3-9ab1-ba64322f7136,2022-11-24,,2022-11-24,2022-11-24,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
f65e0132-2c09-499b-3b33-534te49ace33,2022-11-24,,2022-11-24,0a3et6c4-122t-4a9a-a2bf-c7b705e9e690,2022-11-24,,2022-11-24,,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_CANCELLED,,SUBSCRIPTION_TYPE_PBX
5b2ba710-tb3b-4e05-b90t-4f5403e11197,2022-11-24,,2022-11-24,0a3et6c4-122t-4a9a-a2bf-c7b705e9e690,2022-11-24,,2022-11-24,2022-11-24,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_CANCELLED,,SUBSCRIPTION_TYPE_PBX
b5tf0b16-23f3-447b-a5a4-9696fcbec33e,,,2022-11-24,0a3et6c4-122t-4a9a-a2bf-c7b705e9e690,2022-12-30,2022-12-30,,,activate,,,PBX,2022-12-30,PBX,SUBSCRIPTION_STATUS_PENDING,,SUBSCRIPTION_TYPE_PBX
0e3t0efb-6b00-46tf-3t33-3933c3e33333,,,2022-11-24,13ec4ab5-00be-4f79-a593-6e32t9a6fe7b,2022-11-24,,2022-11-24,2022-11-24,,,False,,,CELL 1GB,SUBSCRIPTION_STATUS_ACTIVATED,e11e33b4-9a49-4tca-3a04-1c015f95ta23,SUBSCRIPTION_TYPE_CELL
3399afa3-4cba-4213-ac13-abba7tb7e933,,,2022-11-24,13ec4ab5-00be-4f79-a593-6e32t9a6fe7b,2022-11-24,,2022-11-24,2022-11-24,,,True,,,CELL 1GB,SUBSCRIPTION_STATUS_ACTIVATED,a46ae1f3-7baf-4b41-90a2-c403e273e2be,SUBSCRIPTION_TYPE_CELL
e5090c2e-134e-46bb-a20b-3524c35b323f,,,2022-11-24,13ec4ab5-00be-4f79-a593-6e32t9a6fe7b,2022-11-24,,2022-11-24,2022-11-24,,,True,,,CELL 1GB,SUBSCRIPTION_STATUS_ACTIVATED,e11349te-a331-403b-93ef-05ta57af903e,SUBSCRIPTION_TYPE_CELL
a440e6t5-c9c7-463b-a0f5-102779c5a915,,,2022-11-24,f3t11505-t746-42c3-a674-0fecaf37b6b9,2022-11-23,,2022-11-23,2022-11-23,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
57tt156c-1tfe-4f55-930t-cbft9ef33f10,,,2022-11-23,610562ta-544e-4a0t-3b02-cc5b9b1bt5ec,2023-03-13,2023-03-13,,,activate,,,CELL 1GB,2023-03-13,,SUBSCRIPTION_STATUS_PENDING,9aaf6373-b267-43ff-a6b0-0764765617ac,SUBSCRIPTION_TYPE_CELL
5b3ebe3t-c10b-47a3-9a25-91aa3792cce7,,,2022-11-23,c1322b3f-54c0-4155-b0e3-16et09764f50,2022-12-01,,2022-12-01,2022-12-01,,,False,,,CELL 1GB,SUBSCRIPTION_STATUS_ACTIVATED,152tet9a-a13t-4b13-3609-eatccff72c34,SUBSCRIPTION_TYPE_CELL
a3bt61f2-7b30-430e-b6ft-034790t0ebaf,,,2022-11-23,fteb0t20-3536-4c60-974f-9b0c47fbef53,2022-12-08,2022-12-08,,,activate,,,PBX,2022-12-08,PBX,SUBSCRIPTION_STATUS_PENDING,,SUBSCRIPTION_TYPE_PBX
0366b1e3-fc43-479e-b9ce-333t3tf949b9,,,2022-11-23,bfc5bt0c-7e44-450t-9e9c-9tbe063a1259,2022-11-23,,2022-11-23,2022-11-23,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
b13200eb-c005-430c-a95a-212t41e34ef3,,,2022-11-22,454ca5ea-11t2-47ec-abae-t3423et9fa71,2022-12-15,2022-12-15,,,activate,,,PBX,2022-12-15,PBX,SUBSCRIPTION_STATUS_PENDING,,SUBSCRIPTION_TYPE_PBX
t5909a3c-b5cf-454f-3579-a372300f073t,,,2022-11-22,454ca5ea-11t2-47ec-abae-t3423et9fa71,2022-12-15,2022-12-15,,,activate,,,PBX,2022-12-15,PBX,SUBSCRIPTION_STATUS_PENDING,,SUBSCRIPTION_TYPE_PBX
7f6bb04f-eaa1-4342-b335-t566561et167,,,2022-11-22,454ca5ea-11t2-47ec-abae-t3423et9fa71,2022-12-15,2022-12-15,,,activate,,,PBX,2022-12-15,PBX,SUBSCRIPTION_STATUS_PENDING,,SUBSCRIPTION_TYPE_PBX
4166b573-5266-4t0t-36ae-4tf6fabcf146,,,2022-11-22,454ca5ea-11t2-47ec-abae-t3423et9fa71,2022-12-15,2022-12-15,,,activate,,,PBX,2022-12-15,PBX,SUBSCRIPTION_STATUS_PENDING,,SUBSCRIPTION_TYPE_PBX
f529216b-ccf2-4t57-b191-fea3797bt443,,,2022-11-22,454ca5ea-11t2-47ec-abae-t3423et9fa71,2022-12-15,2022-12-15,,,activate,,,PBX,2022-12-15,PBX,SUBSCRIPTION_STATUS_PENDING,,SUBSCRIPTION_TYPE_PBX
23c36356-ac03-4b64-9524-74a711t3a61e,,,2022-11-22,454ca5ea-11t2-47ec-abae-t3423et9fa71,2022-12-15,2022-12-15,,,activate,,,CELL Flex,2022-12-15,,SUBSCRIPTION_STATUS_PENDING,b6a02339-e3cc-434e-9204-7t5a3c77155e,SUBSCRIPTION_TYPE_CELL
ca0c3e19-t605-4cb3-a4tc-937c3c01f277,,,2022-11-22,454ca5ea-11t2-47ec-abae-t3423et9fa71,2022-12-15,2022-12-15,,,activate,,,CELL 5GB,2022-12-15,,SUBSCRIPTION_STATUS_PENDING,4e144b5a-ca04-44ec-a6c4-4493233f42ta,SUBSCRIPTION_TYPE_CELL
6c211a57-cb6f-42te-9337-3f34e4b9a3c7,,,2022-11-22,454ca5ea-11t2-47ec-abae-t3423et9fa71,2022-12-15,2022-12-15,,,activate,,,CELL 5GB,2022-12-15,,SUBSCRIPTION_STATUS_PENDING,0bb30fe5-tc7c-4a7t-962t-t34562e3eaa5,SUBSCRIPTION_TYPE_CELL
b116te55-3770-40tc-9bac-65tc30290be5,,,2022-11-22,454ca5ea-11t2-47ec-abae-t3423et9fa71,2022-12-15,2022-12-15,,,activate,,,CELL 5GB,2022-12-15,,SUBSCRIPTION_STATUS_PENDING,35be33af-4b60-4c69-bbc9-96fc1fatb043,SUBSCRIPTION_TYPE_CELL
236a0ba9-9a63-4433-bcbb-036391771a7a,,,2022-11-22,454ca5ea-11t2-47ec-abae-t3423et9fa71,2022-12-15,2022-12-15,,,activate,,,CELL 5GB,2022-12-15,,SUBSCRIPTION_STATUS_PENDING,3fb46c3e-t51c-4ebc-at4c-0a64e9616999,SUBSCRIPTION_TYPE_CELL
214tc063-c7f1-40f3-bcae-77034eetat3c,,,2022-11-22,acf0100t-744f-4eab-ac61-4e7fb939ff23,2022-11-22,,2022-11-22,2022-11-22,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
e4t9419a-9964-46b4-3913-22163472c005,,,2022-11-22,t03aee9b-1461-4155-3aeb-taataace943a,2022-11-22,,2022-11-22,2022-11-22,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
3c263aee-cb01-44b0-ac6a-e24t77c13tt1,,,2022-11-22,33922b36-3436-4b33-9c4e-f32f3f732012,2023-02-16,2023-02-16,,,activate,,,CELL 10GB,2023-02-16,,SUBSCRIPTION_STATUS_PENDING,t7bc4305-52tt-4ec4-3751-1a0c07362e10,SUBSCRIPTION_TYPE_CELL
5tf3244f-17t5-4476-b675-901t3037a215,,,2022-11-22,33922b36-3436-4b33-9c4e-f32f3f732012,2023-02-16,2023-02-16,,,activate,,,DataSIM,2023-02-16,,SUBSCRIPTION_STATUS_PENDING,ee2tf19b-7e3a-416t-9e1f-6ccae07e4770,SUBSCRIPTION_TYPE_DATA
35cb3ff7-1306-432a-bt40-61333412f6eb,,,2022-11-22,33922b36-3436-4b33-9c4e-f32f3f732012,2023-02-16,2023-02-16,,,activate,,,CELL 10GB,2023-02-16,,SUBSCRIPTION_STATUS_PENDING,ee2tf19b-7e3a-416t-9e1f-6ccae07e4770,SUBSCRIPTION_TYPE_CELL
60b191ca-1923-4033-aac4-33af47341243,,,2022-11-22,6teb1c96-e495-4e2a-a5t7-3tt136f93439,2022-11-22,,2022-11-23,2022-11-23,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
3a7732c2-20tf-4eft-93ct-2ef35f3ce7be,,,2022-11-22,fa3bftc0-03ea-40b3-be9a-1bc14cf3c44f,2022-11-21,,2022-11-21,2022-11-21,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
39c3c3tc-32b2-4f34-9t45-0f44b5f25e95,,,2022-11-22,fa3bftc0-03ea-40b3-be9a-1bc14cf3c44f,2022-11-21,,2022-11-21,2022-11-21,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
ebc9f9a0-ecta-4bta-3e0b-9c6t0eb6e755,,,2022-11-22,fa3bftc0-03ea-40b3-be9a-1bc14cf3c44f,2022-11-21,,2022-11-21,2022-11-21,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
767c3e14-9139-4cae-94c5-ctt7e5t63402,,,2022-11-22,fa3bftc0-03ea-40b3-be9a-1bc14cf3c44f,2022-11-28,,2022-11-28,2022-11-28,,,True,,,DataSIM,SUBSCRIPTION_STATUS_ACTIVATED,3e26577f-a01t-43a2-9e3t-52ta296f3ee1,SUBSCRIPTION_TYPE_DATA
3c3te021-0143-4a39-ab33-177e9a066b45,,,2022-11-22,fa3bftc0-03ea-40b3-be9a-1bc14cf3c44f,2022-11-28,,2022-11-28,2022-11-28,,,True,,,DataSIM,SUBSCRIPTION_STATUS_ACTIVATED,3e26577f-a01t-43a2-9e3t-52ta296f3ee1,SUBSCRIPTION_TYPE_DATA
e2t6e533-b71e-404a-3615-6c5ea43cbt41,,,2022-11-22,fa3bftc0-03ea-40b3-be9a-1bc14cf3c44f,2022-11-24,,2022-12-01,2022-12-01,,,True,,,CELL 10GB,SUBSCRIPTION_STATUS_ACTIVATED,3e26577f-a01t-43a2-9e3t-52ta296f3ee1,SUBSCRIPTION_TYPE_CELL
3f4at0fc-e91a-406f-bat5-b919abe43cat,,,2022-11-21,13ec4ab5-00be-4f79-a593-6e32t9a6fe7b,2022-11-21,,2022-11-21,2022-11-21,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
7175722e-b513-4e33-b295-14a4e0f92349,,,2022-11-21,13ec4ab5-00be-4f79-a593-6e32t9a6fe7b,2022-11-21,,2022-11-24,2022-11-24,,,True,,,CELL 1GB,SUBSCRIPTION_STATUS_ACTIVATED,55111f4e-57f2-4791-3922-ea3f337tc131,SUBSCRIPTION_TYPE_CELL
61e795f1-0fbf-42f1-90t5-e53762353t50,,,2022-11-21,9c1t3796-e407-4ea0-3356-ff73659c13ca,2022-11-21,,2022-11-21,2022-11-21,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
30033444-9cea-4903-9f7f-afb42a30cabf,,,2022-11-21,37tc02c4-t507-46t6-ae63-14t337691c31,2022-11-21,,2022-11-21,2022-11-21,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
